seed,time_solve,size_bytes
336, 177.46669626235962, 327335683
340, 188.0666356086731, 310798107
945, 187.70383954048157, 301214508
135, 177.6416311264038, 326928644
717, 189.16531229019165, 315646412
495, 181.6802899837494, 288836142
700, 225.38483953475952, 360362871
636, 185.08978128433228, 310829720
881, 169.5504171848297, 282758951
283, 198.1774926185608, 346980149
466, 187.5694363117218, 354748166
68, 168.36342072486877, 294285620
407, 239.66544365882874, 384416512
877, 194.28368091583252, 352653377
922, 198.06651997566223, 343478794
866, 201.23280334472656, 322333060
301, 219.74322414398193, 342723736
219, 168.50075364112854, 356122828
134, 177.56195998191833, 298539084
472, 170.98981404304504, 327191996
140, 245.60655546188354, 374523156
837, 209.3119285106659, 346427164
216, 166.06589531898499, 284730098
761, 201.8178198337555, 346506698
177, 187.66709208488464, 329660962
155, 210.6200623512268, 347062739
845, 172.5592074394226, 332553608
900, 190.23529720306396, 340581897
473, 202.07751154899597, 329752212
812, 163.36410903930664, 329332752
399, 187.58277940750122, 373091692
192, 210.40481042861938, 359110979
938, 211.2172691822052, 320570016
179, 152.29776310920715, 280804021
290, 186.2560522556305, 308952794
583, 199.6653072834015, 364128769
111, 166.39168000221252, 295115854
911, 234.68117260932922, 368989920
704, 229.37044167518616, 354272322
276, 275.4453113079071, 379954648
270, 192.54247760772705, 352348957
307, 193.84914898872375, 345038340
607, 188.8707013130188, 318783497
960, 197.68672966957092, 371038366
508, 185.99552416801453, 320955659
347, 188.96207213401794, 322178786
383, 212.33887767791748, 380932932
310, 159.07694506645203, 336445515
597, 194.8798475265503, 315586729
126, 181.3103904724121, 315363605
734, 204.7658932209015, 343449609
701, 205.11152625083923, 369538992
779, 163.03961610794067, 291018538
872, 188.32670331001282, 301417458
574, 151.21148920059204, 287897624
429, 188.47632551193237, 311227897
654, 184.8067545890808, 333422588
672, 216.51663184165955, 340079284
475, 167.57042360305786, 295946388
123, 170.57669019699097, 315706046
792, 155.61030507087708, 284542860
688, 236.8049280643463, 393526257
901, 166.40318298339844, 283552496
655, 172.45145225524902, 306402457
406, 182.32854342460632, 304102300
742, 200.5077223777771, 354201087
121, 170.64429664611816, 314781629
359, 159.51021003723145, 281316766
382, 220.90809440612793, 331893709
976, 164.02233600616455, 304934981
935, 204.1052267551422, 367605532
262, 193.93742322921753, 336747035
44, 188.882883310318, 327384256
608, 216.71439290046692, 346269594
582, 184.3035111427307, 321873819
650, 198.6995346546173, 324670026
350, 195.3351480960846, 333708973
53, 179.58391952514648, 326476738
408, 179.48697233200073, 329897948
491, 166.29200983047485, 303507115
474, 184.21276235580444, 319850484
979, 214.13122701644897, 353893478
99, 222.65489864349365, 355512928
442, 173.20727610588074, 292320134
254, 173.71965622901917, 288836471
883, 208.21857833862305, 342917118
652, 185.19363474845886, 299836607
66, 196.18538784980774, 335430894
416, 186.45725464820862, 349731695
780, 179.0774223804474, 288907544
558, 172.62308287620544, 295708293
321, 156.57308745384216, 280926334
299, 209.0809211730957, 331413709
440, 191.60231041908264, 365516544
446, 199.7099211215973, 347939444
642, 177.53391003608704, 347118200
918, 200.56278824806213, 318780875
763, 212.05376887321472, 346601829
849, 210.75990295410156, 337471682
379, 197.477863073349, 326613840
69, 231.53829169273376, 381557232
891, 176.64399480819702, 297744410
553, 205.5523009300232, 367044170
496, 226.2619378566742, 395237012
74, 225.54629778862, 384215496
858, 169.31027054786682, 288743366
978, 207.1230502128601, 354854143
245, 206.76284384727478, 333737411
149, 182.2869062423706, 297840848
