seed,time_solve,size_bytes
643, 176.0124053955078, 268343807
862, 193.61983442306519, 286036492
841, 198.07696104049683, 269540802
493, 188.50666213035583, 261648796
499, 196.86905765533447, 269437170
445, 199.91583633422852, 303187740
214, 217.3686716556549, 313313823
912, 221.76009225845337, 300859381
270, 195.96707439422607, 288060739
893, 207.45127534866333, 298053490
292, 248.38706588745117, 345300043
828, 205.84505200386047, 266499068
471, 213.97315001487732, 291521561
900, 226.58831310272217, 325818742
571, 194.95349216461182, 308532370
269, 172.96267819404602, 267741984
646, 221.70892190933228, 326548488
538, 208.75242352485657, 298005471
446, 189.48391389846802, 296461641
582, 214.07502031326294, 284368689
31, 250.69242525100708, 330461992
415, 225.9121174812317, 292943461
370, 205.1864070892334, 279668225
143, 217.71485090255737, 307643204
43, 214.49061465263367, 281193745
329, 220.84237122535706, 286157194
40, 226.7066831588745, 295366309
608, 197.5371298789978, 285385185
448, 212.7889802455902, 278953836
774, 225.76462531089783, 300274858
836, 168.8514518737793, 269615408
801, 220.22788095474243, 288058875
66, 207.2373857498169, 290989988
703, 198.0166778564453, 279615071
245, 193.0562891960144, 275584931
638, 235.25585770606995, 328837666
930, 191.9290452003479, 278524285
627, 199.7506730556488, 295421812
551, 175.20514035224915, 270973180
825, 222.43570518493652, 290083104
784, 195.18207383155823, 293766661
481, 204.87663745880127, 292414484
965, 216.31652355194092, 289335290
859, 183.82494616508484, 277211474
179, 221.7093071937561, 300068146
440, 197.31255507469177, 284625077
87, 206.49718165397644, 297316289
253, 185.53542017936707, 252043802
271, 220.69177865982056, 307568697
873, 206.37397050857544, 283679276
320, 222.4303605556488, 302785871
826, 210.91080236434937, 299047553
13, 208.2949960231781, 280852769
983, 206.3466718196869, 273706613
798, 214.84473037719727, 315679936
679, 195.1479833126068, 292014687
899, 212.54482221603394, 287979233
576, 193.52444100379944, 266564097
237, 243.39655685424805, 318002070
466, 190.03540468215942, 288438096
534, 179.83472537994385, 276269983
938, 179.98831224441528, 266422644
687, 192.68651580810547, 289021449
961, 199.5179193019867, 315837931
167, 195.5496528148651, 320662570
